CUST_ID,BALANCE,PURCHASES,risk_appetite,neuro_score,conscientiousness,annual_revenue,years_with_bank,tier,psychotype,recommendation,estimated_LTV
USER_14,"2006,789887","15683,12288","0,5791142699","0,4777875863","0,03859156194","414,001952",4,Retail,Standard,Standard Savings,"1656,01"
USER_15,"2026,114228","9272,830866","0,6172910761","0,6376241587","0,8788811459","286,7623287",2,Retail,Standard,Standard Savings,"573,52"
USER_16,"3627,537295","5829,755706","0,405157672","0,2902876726","0,3149332275","297,9719788",10,Retail,Standard,Standard Savings,"2979,72"
USER_17,"7439,278309","1746,834479","0,3043677834","0,4589726153","0,1289789079","406,900605",6,Retail,Standard,Standard Savings,"2441,4"
USER_18,"5655,370668","12233,02438","0,6824930337","0,5827441488","0,4684612371","527,429021",5,Retail,Standard,Standard Savings,"2637,15"
USER_19,"3442,229926","1611,7587","0,8475690481","0,2169729893","0,5983060757","204,3466703",2,Retail,Standard,Standard Savings,"408,69"
USER_20,"9463,708739","8067,467995","0,6936176378","0,4487101336","0,03097060342","634,5347969",10,Retail,Standard,Standard Savings,"6345,35"
USER_21,"1502,345287","12520,94694","0,9321023655","0,2986745037","0,2748956583","325,5362031",7,Retail,Impulsive Intuitive,High-Leverage Trading / Crypto,"2278,75"
USER_22,"3455,15512","4619,14336","0,7172635254","0,6621980977","0,03279987428","265,1406232",6,Retail,Impulsive Intuitive,High-Leverage Trading / Crypto,"1590,84"
USER_23,"4562,772182","8124,184805","0,764618734","0,6355291226","0,4203353892","390,6223052",12,Retail,Standard,Standard Savings,"4687,47"
USER_24,"6089,346879","7843,762017","0,1679031966","0,5471332446","0,8951000291","461,3425843",11,Retail,Standard,Standard Savings,"5074,77"
USER_25,"15379,36011","1073,135541","0,4195396445","0,4371071083","0,9826524115","790,4307163",9,HNW,Standard,Standard Savings,"7113,88"
USER_26,"2227,358621","5511,964234","0,485055331","0,5310213255","0,6370475535","221,6072157",11,Retail,Standard,Standard Savings,"2437,68"
USER_27,"7220,29155","490,644396","0,2562931623","0,5972746993","0,1616376938","370,8274654",10,Retail,Standard,Standard Savings,"3708,27"
USER_28,"8975,047213","3544,860109","0,5285398604","0,2095502366","0,90584939","519,6495628",5,Retail,Rational Strategist,Standard Savings,"2598,25"
USER_29,"475,6384976","885,0915086","0,2907919442","0,6644577371","0,5162478232","41,48375505",9,Retail,Standard,Standard Savings,"373,35"
USER_30,"9353,330206","2692,264661","0,6875020928","0,1685038174","0,1537493121","521,5118035",9,Retail,Standard,Standard Savings,"4693,61"
USER_31,"1869,61252","8948,270676","0,4702884767","0,3981349392","0,9217266695","272,4460395",1,Retail,Standard,Standard Savings,"272,45"
USER_32,"672,6393088","21779,00365","0,4588069543","0,2400044186","0,7574690507","469,2120385",5,Retail,Rational Strategist,Standard Savings,"2346,06"
USER_33,"29736,87794","1913,333625","0,983642531","0,2102834429","0,7317052727","1525,110569",9,HNW,Rational Strategist,Stock Portfolio,13726
USER_34,"33706,30342","3795,961634","0,3924448485","0,1384766008","0,7091807038","1761,234404",7,HNW,Rational Strategist,Stock Portfolio,"12328,64"
USER_35,"16523,31573","3580,01216","0,3622954326","0,4731443879","0,2003398211","897,7660296",6,HNW,Standard,Standard Savings,"5386,6"
USER_36,"3632,8786","15439,40337","0,3186043713","0,3199374819","0,2110066917","490,4319973",6,Retail,Standard,Standard Savings,"2942,59"
USER_37,"1027,77315","3256,032891","0,894749221","0,4373833858","0,6882929984","116,5093153",11,Retail,Standard,Standard Savings,"1281,6"
USER_38,"11527,50763","6004,989592","0,4967238261","0,2076781704","0,2197227501","696,4751734",7,Retail,Standard,Standard Savings,"4875,33"
USER_39,"5800,908426","12741,73978","0,6000144775","0,3326451689","0,4386716968","544,880217",1,Retail,Standard,Standard Savings,"544,88"
USER_40,"1301,52234","2337,06342","0,180818479","0,4697456462","0,7820018256","111,8173854",4,Retail,Standard,Standard Savings,"447,27"
USER_41,"6835,472281","11620,17954","0,54094236","0,4953615824","0,7839525181","574,1772049",1,Retail,Standard,Standard Savings,"574,18"
USER_42,"349,9372144","12472,13241","0,2746481929","0,3343762515","0,4532617725","266,939509",6,Retail,Standard,Standard Savings,"1601,64"
USER_43,"24004,22887","13343,84725","0,7306369213","0,3879456882","0,7921899383","1467,088389",4,HNW,Standard,Standard Savings,"5868,35"
USER_44,"2994,577768","1576,610723","0,8325283488","0,5429888741","0,8386217962","181,2611029",1,Retail,Standard,Standard Savings,"181,26"
USER_45,"10862,55799","2557,092283","0,7148106921","0,4079315941","0,6547757513","594,2697449",9,Retail,Standard,Standard Savings,"5348,43"
USER_46,"3735,465817","10216,35462","0,7302441663","0,1164797374","0,2284258523","391,1003832",12,Retail,Impulsive Intuitive,High-Leverage Trading / Crypto,"4693,2"
USER_47,"7341,108959","2224,89155","0,5124747041","0,03720039078","0,2740117804","411,5532789",4,Retail,Standard,Standard Savings,"1646,21"
USER_48,"7912,23798","4584,617572","0,7121180563","0,460049437","0,3148411554","487,3042504",12,Retail,Standard,Standard Savings,"5847,65"
USER_49,"2043,885995","628,1251225","0,4226869355","0,1856347054","0,1168041077","114,7568022",6,Retail,Standard,Standard Savings,"688,54"
USER_50,"34928,07133","289,6022812","0,6514891535","0,5623508363","0,2731596204","1752,195612",7,HNW,Wealthy Accumulator,Private Banking,"12265,37"
USER_51,"14922,45377","2655,090546","0,2590392101","0,389468567","0,2095192243","799,2244995",8,Retail,Standard,Standard Savings,"6393,8"
USER_52,"28050,94419","4324,621025","0,06975701231","0,6695338493","0,4553287498","1489,03963",12,HNW,Standard,Standard Savings,"17868,48"
USER_53,"22521,51998","2493,654581","0,4134732641","0,4743916179","0,9084375479","1175,94909",11,HNW,Standard,Standard Savings,"12935,44"
USER_54,"9110,544124","4310,620119","0,4617781558","0,6239670553","0,1044803168","541,7396086",9,Retail,Anxious Saver,Gold Deposit,"4875,66"
USER_55,"25494,35379","3618,901873","0,2564071582","0,2503559077","0,7202679239","1347,095727",9,HNW,Rational Strategist,Stock Portfolio,"12123,86"
USER_56,"926,5545895","5787,151683","0,7277095184","0,5085941445","0,6872830044","162,0707631",8,Retail,Standard,Standard Savings,"1296,57"
USER_57,"2181,346946","5242,435524","0,07355047898","0,2259654568","0,09575419866","213,9160578",10,Retail,Standard,Standard Savings,"2139,16"
USER_58,"462,8196569","2760,371387","0,2227483244","0,4149378102","0,9225724049","78,34841058",11,Retail,Standard,Standard Savings,"861,83"
USER_59,"3935,320868","2766,884803","0,7485647185","0,3637527316","0,5684722022","252,1037395",12,Retail,Standard,Standard Savings,"3025,24"
USER_60,"4921,302918","758,6417303","0,4371242737","0,5368385571","0,3637255211","261,2379805",12,Retail,Standard,Standard Savings,"3134,86"
USER_61,"3165,604432","3599,905785","0,705283624","0,6420417346","0,7565385835","230,2783373",3,Retail,Standard,Standard Savings,"690,84"
USER_62,"17645,57865","4423,707522","0,5674858778","0,5591367069","0,2573654584","970,7530831",12,HNW,Standard,Standard Savings,"11649,04"
USER_63,"4412,269995","3235,989977","0,95071275","0,4338833911","0,693509837","285,3332993",2,Retail,Standard,Standard Savings,"570,67"
USER_64,"3298,028401","1970,455207","0,5977958327","0,3106785011","0,03971120757","204,3105242",5,Retail,Standard,Standard Savings,"1021,55"
USER_65,"7824,070832","6394,353672","0,01486897435","0,3937911508","0,8394080376","519,090615",1,Retail,Standard,Standard Savings,"519,09"
USER_66,"1518,981478","387,9790939","0,3528773505","0,2193885729","0,448170847","83,70865579",3,Retail,Standard,Standard Savings,"251,13"
USER_67,"16204,83596","12292,70858","0,1430606822","0,2052370566","0,6366929144","1056,09597",1,HNW,Standard,Standard Savings,"1056,1"
USER_68,"774,7586881","104,2974696","0,9246336776","0,2523110788","0,2212378198","40,8238838",3,Retail,Impulsive Intuitive,High-Leverage Trading / Crypto,"122,47"
USER_69,"43341,4634","16397,12934","0,1040124543","0,2436194958","0,6770737127","2495,015757",4,HNW,Wealthy Accumulator,Private Banking,"9980,06"
USER_70,"14794,83776","3102,789528","0,3877066631","0,1981540602","0,7722402759","801,7976787",7,Retail,Rational Strategist,Standard Savings,"5612,58"
USER_71,"2215,394405","2660,841706","0,2260991936","0,2668038755","0,4732131869","163,9865544",12,Retail,Standard,Standard Savings,"1967,84"
USER_72,"55,37420376","1481,5561","0,8467219904","0,2210465948","0,6177269241","32,39983218",12,Retail,Standard,Standard Savings,"388,8"
USER_73,"16898,96777","50,61095901","0,3085664976","0,1839369674","0,4563259238","845,9606079",5,HNW,Standard,Standard Savings,"4229,8"
USER_74,"12270,95907","1606,471878","0,9918934831","0,5438611949","0,8940913693","645,6773912",5,Retail,Standard,Standard Savings,"3228,39"
USER_75,"13056,62909","579,299012","0,03861660561","0,3638865669","0,4978691805","664,4174346",1,Retail,Standard,Standard Savings,"664,42"
USER_76,"14752,14526","5391,414334","0,1282767725","0,4171633236","0,841808709","845,4355497",8,Retail,Standard,Standard Savings,"6763,48"
USER_77,"769,2926551","1921,515352","0,2246387764","0,4148236413","0,8013520583","76,8949398",4,Retail,Standard,Standard Savings,"307,58"
USER_78,"4438,926724","7287,433858","0,8111060402","0,3091269439","0,4105048213","367,6950134",10,Retail,Standard,Standard Savings,"3676,95"
USER_79,"1231,501046","1159,131862","0,8785172091","0,649980592","0,2300844919","84,75768953",5,Retail,Impulsive Intuitive,High-Leverage Trading / Crypto,"423,79"
USER_80,"19885,29572","11524,68215","0,07145138061","0,5431725072","0,4060821326","1224,758429",2,HNW,Standard,Standard Savings,"2449,52"
USER_81,"9763,011917","3701,000182","0,03246014176","0,2947055012","0,8262173758","562,1705995",12,Retail,Rational Strategist,Standard Savings,"6746,05"
USER_82,"4018,188013","608,0490975","0,7445568571","0,3337903879","0,2276325358","213,0703826",1,Retail,Impulsive Intuitive,High-Leverage Trading / Crypto,"213,07"
USER_83,"656,680658","2561,176715","0,1333520068","0,5645591538","0,5244363459","84,05756721",9,Retail,Standard,Standard Savings,"756,52"
USER_84,"3724,883504","1158,150578","0,1329985871","0,5973660111","0,806096748","209,4071868",2,Retail,Standard,Standard Savings,"418,81"
USER_85,"3933,142132","1113,752057","0,02236653449","0,3587007556","0,3534774751","218,9321477",6,Retail,Standard,Standard Savings,"1313,59"
USER_86,"13078,75784","3529,842494","0,04980787758","0,4067056946","0,642209637","724,5347419",1,Retail,Standard,Standard Savings,"724,53"
USER_87,"10148,89359","5572,062521","0,2636754586","0,333516973","0,245631574","618,8859299",1,Retail,Standard,Standard Savings,"618,89"
USER_88,"21822,51912","12130,44638","0,06500548941","0,5705843131","0,1092794454","1333,734884",9,HNW,Standard,Standard Savings,"12003,61"
USER_89,"6390,661334","3487,402889","0,3688790917","0,1658358507","0,7943842251","389,2811245",4,Retail,Rational Strategist,Standard Savings,"1557,12"
USER_90,"1273,723936","16883,32026","0,8327750312","0,6213658871","0,09896862341","401,352602",9,Retail,Impulsive Intuitive,High-Leverage Trading / Crypto,"3612,17"
USER_91,"12491,26344","14205,18175","0,3263202573","0,4248233245","0,2713813951","908,6668071",11,Retail,Standard,Standard Savings,"9995,33"
USER_92,"14303,92753","10014,71896","0,7278341626","0,4038683974","0,855109422","915,4907558",5,Retail,Standard,Standard Savings,"4577,45"
USER_93,"8238,874949","3465,508558","0,09390996483","0,4563442555","0,3464692871","481,2539186",7,Retail,Standard,Standard Savings,"3368,78"
USER_94,"14738,89967","759,3726992","0,6593751874","0,2403349059","0,9730453495","752,1324373",1,Retail,Rational Strategist,Standard Savings,"752,13"
USER_95,"6808,147315","1228,891923","0,3167471833","0,188264016","0,9797343348","364,9852042",6,Retail,Rational Strategist,Standard Savings,"2189,91"
USER_96,"7396,788388","5215,935251","0,7497528787","0,2852431045","0,2682760205","474,1581244",8,Retail,Impulsive Intuitive,High-Leverage Trading / Crypto,"3793,26"
USER_97,"5578,141939","2738,787953","0,1362520141","0,1932191311","0,04097822225","333,682856",1,Retail,Standard,Standard Savings,"333,68"
USER_98,"257,4777399","793,8160245","0,8978833778","0,4397922368","0,7050632842","28,75020748",9,Retail,Standard,Standard Savings,"258,75"
USER_99,"1141,674352","3259,967968","0,2425772029","0,2250626296","0,4509865026","122,283077",3,Retail,Standard,Standard Savings,"366,85"
USER_100,"319,3368129","87,92123068","0,3531377933","0,1039213383","0,100752844","17,72526526",1,Retail,Standard,Standard Savings,"17,73"
USER_101,"10117,29551","6619,328525","0,9501807108","0,5595513151","0,707522819","638,251346",1,Retail,Standard,Standard Savings,"638,25"
USER_102,"3773,967088","382,1449038","0,5784823597","0,6418929425","0,03117490911","196,3412525",11,Retail,Anxious Saver,Gold Deposit,"2159,75"
USER_103,"7104,371771","4959,297582","0,365771519","0,6138761416","0,8701966905","454,4045402",6,Retail,Standard,Standard Savings,"2726,43"
USER_104,"23812,6553","7875,431411","0,949602147","0,4974539113","0,1386525291","1348,141393",11,HNW,Impulsive Intuitive,High-Leverage Trading / Crypto,"14829,56"
USER_105,"2867,38823","711,5281522","0,3290774169","0,2869476246","0,1273118787","157,5999745",6,Retail,Standard,Standard Savings,"945,6"
USER_106,"5282,819749","3655,68564","0,09487071268","0,3231210095","0,175672298","337,2547002",1,Retail,Standard,Standard Savings,"337,25"
USER_107,"14087,49148","7549,490595","0,9968488879","0,4791192379","0,9602663585","855,3643857",3,Retail,Standard,Standard Savings,"2566,09"
USER_108,"2598,051569","1509,807397","0,2678449206","0,473010309","0,6931693603","160,0987264",7,Retail,Standard,Standard Savings,"1120,69"
USER_109,"801,0427855","889,1578176","0,8512578487","0,2519479532","0,8013715355","57,83529563",10,Retail,Rational Strategist,Standard Savings,"578,35"
USER_110,"3421,403039","2053,537459","0,1655407948","0,5579165625","0,3976349857","212,1409011",3,Retail,Standard,Standard Savings,"636,42"
USER_111,"1758,083585","4045,026088","0,7313539718","0,1872202859","0,3363127275","168,804701",3,Retail,Standard,Standard Savings,"506,41"
USER_112,"26549,50086","4281,620984","0,5244493945","0,2119088074","0,2344840068","1413,107463",3,HNW,Standard,Standard Savings,"4239,32"
USER_113,"16508,8708","701,3492741","0,9809065583","0,3184872114","0,4806480283","839,4705257",12,HNW,Standard,Standard Savings,"10073,65"
USER_114,"10034,94191","3058,470549","0,5528303561","0,3964699674","0,5518287335","562,9165062",7,Retail,Standard,Standard Savings,"3940,42"
USER_115,"20515,19731","1561,801762","0,02501515189","0,3150431039","0,6317748437","1056,9959",4,HNW,Standard,Standard Savings,"4227,98"
USER_116,"16279,68941","9226,567683","0,6038779896","0,2707434187","0,257118504","998,515824",4,HNW,Standard,Standard Savings,"3994,06"
USER_117,"2064,954764","1881,29251","0,1453164563","0,5137304313","0,9486540809","140,8735884",3,Retail,Standard,Standard Savings,"422,62"
USER_118,"22308,13405","9122,586723","0,7985409153","0,1578000213","0,1697584982","1297,858437",10,HNW,Impulsive Intuitive,High-Leverage Trading / Crypto,"12978,58"
USER_119,"7750,99902","2798,0193","0,8565681965","0,1897574606","0,9656531748","443,510337",11,Retail,Rational Strategist,Standard Savings,"4878,61"
USER_120,"16473,48291","6483,836463","0,4820935188","0,5443740399","0,01485612251","953,3508749",9,HNW,Standard,Standard Savings,"8580,16"
USER_121,"22642,42649","3567,364054","0,7832214571","0,6278257491","0,4811256918","1203,468606",2,HNW,Standard,Standard Savings,"2406,94"
USER_122,"3827,307164","4863,811051","0,1451107355","0,5560638086","0,3333678381","288,6415792",4,Retail,Standard,Standard Savings,"1154,57"
USER_123,"1165,921601","2515,581344","0,4920781865","0,6047580374","0,4491234139","108,6077069",8,Retail,Standard,Standard Savings,"868,86"
USER_124,"2586,867461","7309,547726","0,3939442647","0,4526209903","0,570664579","275,5343276",6,Retail,Standard,Standard Savings,"1653,21"
USER_125,"5570,576927","2768,573276","0,6113173871","0,4504286853","0,435589158","333,9003119",7,Retail,Standard,Standard Savings,"2337,3"
USER_126,"17038,29727","3057,482493","0,0444771888","0,14349338","0,4148468503","913,0645132",7,HNW,Standard,Standard Savings,"6391,45"
USER_127,"19713,44972","3645,723618","0,7521228382","0,2292266065","0,7327234154","1058,586958",2,HNW,Rational Strategist,Stock Portfolio,"2117,17"
USER_128,"69,76409182","8913,724664","0,07912928947","0,3113442585","0,6858762751","181,7626979",4,Retail,Standard,Standard Savings,"727,05"
USER_129,"7148,761593","5384,923236","0,6564715175","0,2298768919","0,833271282","465,1365444",10,Retail,Rational Strategist,Standard Savings,"4651,37"
USER_130,"5402,733209","2147,460183","0,01845722554","0,4367100568","0,2499589812","313,0858641",10,Retail,Standard,Standard Savings,"3130,86"
USER_131,"2511,673383","5548,158409","0,8318880638","0,2979378675","0,6095285098","236,5468373",6,Retail,Standard,Standard Savings,"1419,28"
USER_132,"1276,803915","5142,072739","0,1746996302","0,340523108","0,5851947854","166,6816505",3,Retail,Standard,Standard Savings,"500,04"
USER_133,"4119,085799","13369,64087","0,515497476","0,235091601","0,3697378109","473,3471073",9,Retail,Standard,Standard Savings,"4260,12"
USER_134,"28631,21123","9207,368035","0,2614929037","0,5916293818","0,4860575419","1615,707922",4,HNW,Standard,Standard Savings,"6462,83"
USER_135,"3903,838029","5212,770486","0,7226472021","0,1880654297","0,3137821433","299,4473112",10,Retail,Standard,Standard Savings,"2994,47"
USER_136,"7314,528058","2089,007781","0,3213511002","0,450603457","0,1418443976","407,5065585",2,Retail,Standard,Standard Savings,"815,01"
USER_137,"12140,86977","7561,021755","0,7246091936","0,3975732635","0,2138012107","758,2639235",6,Retail,Impulsive Intuitive,High-Leverage Trading / Crypto,"4549,58"
USER_138,"4519,74499","4280,781658","0,2848712068","0,2902932887","0,1055136464","311,6028826",1,Retail,Standard,Standard Savings,"311,6"
USER_139,"35677,98138","21089,3412","0,7524730909","0,3962038923","0,6830695752","2205,685893",6,HNW,Wealthy Accumulator,Private Banking,"13234,12"
USER_140,"32820,09865","1421,812133","0,03060549634","0,537340483","0,6607273931","1669,441175",12,HNW,Wealthy Accumulator,Private Banking,"20033,29"
USER_141,"2900,61295","415,0379647","0,2833113354","0,373904604","0,9506063716","153,3314068",10,Retail,Standard,Standard Savings,"1533,31"
USER_142,"6876,592785","362,2718415","0,4986335064","0,4390080763","0,7296784136","351,0750761",1,Retail,Standard,Standard Savings,"351,08"
USER_143,"3579,304601","5108,678316","0,04505958192","0,332865982","0,05204583876","281,1387964",8,Retail,Standard,Standard Savings,"2249,11"
USER_144,"3352,496764","14005,78294","0,1860340614","0,1585141351","0,8842451739","447,740497",5,Retail,Rational Strategist,Standard Savings,"2238,7"
USER_145,"375,8447777","9,668914224","0,9345369816","0,6393149932","0,8626751629","18,98561717",6,Retail,Standard,Standard Savings,"113,91"
USER_146,"9404,92071","6468,959632","0,9768342652","0,5987130108","0,4433203208","599,6252281",2,Retail,Standard,Standard Savings,"1199,25"
USER_147,"6985,196328","5351,074432","0,7397499474","0,4292259173","0,5858630505","456,2813051",2,Retail,Standard,Standard Savings,"912,56"
USER_148,"528,5108738","6589,519944","0,2522000506","0,4502908645","0,9760783325","158,2159426",12,Retail,Standard,Standard Savings,"1898,59"
USER_149,"3266,25921","2195,668487","0,2605174454","0,6586471005","0,5323043638","207,2263302",9,Retail,Standard,Standard Savings,"1865,04"
USER_150,"23888,60951","8587,801322","0,6457903578","0,4541814884","0,9053218284","1366,186502",3,HNW,Standard,Standard Savings,"4098,56"
USER_151,"2738,605521","228,6855374","0,1175996166","0,4685066642","0,08303875781","141,5039868",6,Retail,Standard,Standard Savings,"849,02"
USER_152,"1565,30861","7041,291064","0,9483093804","0,4487357308","0,1910518687","219,0912518",10,Retail,Impulsive Intuitive,High-Leverage Trading / Crypto,"2190,91"
USER_153,"6722,721095","1553,538642","0,2248128995","0,4150703859","0,4407549434","367,2068276",5,Retail,Standard,Standard Savings,"1836,03"
USER_154,"42440,36983","3239,318405","0,9996356254","0,5093056891","0,5847568083","2186,804859",12,HNW,Wealthy Accumulator,Private Banking,"26241,66"
USER_155,"2771,448136","8647,76346","0,4957337953","0,6013583198","0,8162278519","311,527676",4,Retail,Standard,Standard Savings,"1246,11"
USER_156,"11151,5501","1582,87086","0,771429989","0,1793025526","0,9882621151","589,2349223",10,Retail,Rational Strategist,Standard Savings,"5892,35"
USER_157,"14338,87626","1024,109068","0,002184094506","0,5404353796","0,3888514965","737,4259945",2,Retail,Standard,Standard Savings,"1474,85"
USER_158,"2713,331723","5717,732154","0,8887464048","0,5609217639","0,04741563614","250,0212292",8,Retail,Impulsive Intuitive,High-Leverage Trading / Crypto,"2000,17"
USER_159,"13027,48928","3811,359856","0,2700020448","0,2896236415","0,8011715033","727,6016614",10,Retail,Rational Strategist,Standard Savings,"7276,02"
USER_160,"4585,227993","3611,890031","0,6679367445","0,6129083753","0,6043807191","301,4992003",7,Retail,Standard,Standard Savings,"2110,49"
USER_161,"10005,03748","1483,745372","0,8063552808","0,2144349337","0,1985428589","529,9267813",11,Retail,Impulsive Intuitive,High-Leverage Trading / Crypto,"5829,19"
USER_162,"10038,37827","177,5157496","0,1641477406","0,2175594271","0,4948284566","505,4692286",2,Retail,Standard,Standard Savings,"1010,94"
USER_163,"7673,8525","2640,445064","0,4425094813","0,5717541281","0,7423102455","436,5015263",6,Retail,Standard,Standard Savings,"2619,01"
USER_164,"946,2915881","563,377584","0,4938359407","0,255379948","0,7704117871","58,58213109",8,Retail,Rational Strategist,Standard Savings,"468,66"
USER_165,"18036,44794","11821,72542","0,3121194653","0,5589835121","0,499618412","1138,256906",7,HNW,Standard,Standard Savings,"7967,8"
USER_166,"3868,102937","210,6263184","0,4817558297","0,541067089","0,3052145301","197,6176732",1,Retail,Standard,Standard Savings,"197,62"
USER_167,"2064,321066","2825,096779","0,3175456577","0,3287338669","0,973742582","159,7179889",5,Retail,Standard,Standard Savings,"798,59"
USER_168,"416,2975979","268,2993241","0,3607477451","0,1281929359","0,663362611","26,18086638",2,Retail,Standard,Standard Savings,"52,36"
USER_169,"8937,784046","502,1074115","0,6693311787","0,2185190666","0,4082375193","456,9313505",6,Retail,Standard,Standard Savings,"2741,59"
USER_170,"11318,51734","5377,40936","0,6325932683","0,3834634592","0,2804632242","673,4740543",7,Retail,Standard,Standard Savings,"4714,32"
USER_171,"167,2694756","5208,012293","0,2322657258","0,665593089","0,731102983","112,5237196",7,Retail,Standard,Standard Savings,"787,67"
USER_172,"7176,305845","168,0538054","0,8974828848","0,4159067635","0,2421834456","362,1763684",3,Retail,Impulsive Intuitive,High-Leverage Trading / Crypto,"1086,53"
USER_173,"2568,241471","5,660578611","0,8627885457","0,2299017905","0,171709989","128,5252851",7,Retail,Impulsive Intuitive,High-Leverage Trading / Crypto,"899,68"
USER_174,"10361,24342","410,488674","0,5090833067","0,4670028515","0,529833889","526,2719443",5,Retail,Standard,Standard Savings,"2631,36"
USER_175,"1916,042225","7198,452434","0,4332507427","0,4199926899","0,2899873926","239,77116",8,Retail,Standard,Standard Savings,"1918,17"
USER_176,"11742,12528","4392,283658","0,376855983","0,4649226976","0,6289051449","674,9519369",12,Retail,Standard,Standard Savings,"8099,42"
USER_177,"4889,58701","194,3187593","0,7072679187","0,1534903194","0,1179386749","248,3657257",8,Retail,Impulsive Intuitive,High-Leverage Trading / Crypto,"1986,93"
USER_178,"27603,43818","3348,10078","0,6716660572","0,5305139513","0,6549411046","1447,133925",7,HNW,Standard,Standard Savings,"10129,94"
USER_179,"1479,444134","6224,483691","0,1961806069","0,4206332893","0,283296528","198,4618805",6,Retail,Standard,Standard Savings,"1190,77"
USER_180,"4171,32434","10160,93496","0,6714580313","0,6314960019","0,0002429344345","411,7849161",2,Retail,Anxious Saver,Gold Deposit,"823,57"
USER_181,"1204,44285","13593,26789","0,2524311941","0,320936083","0,1269360577","332,0875004",6,Retail,Standard,Standard Savings,"1992,53"
USER_182,"25861,90397","1983,323946","0,01855833652","0,3913109466","0,9336153778","1332,761677",12,HNW,Standard,Standard Savings,"15993,14"
USER_183,"20983,33707","729,9429019","0,6992086775","0,5910140528","0,8673546391","1063,765712",11,HNW,Standard,Standard Savings,"11701,42"
USER_184,"2983,273701","1352,000815","0,6447936025","0,101254864","0,233609032","176,2037013",9,Retail,Standard,Standard Savings,"1585,83"
USER_185,"10787,62739","7484,375549","0,4108092624","0,5936142436","0,7783719045","689,0688805",2,Retail,Standard,Standard Savings,"1378,14"
USER_186,"16994,84073","17786,48743","0,5256860559","0,4189428612","0,6085715932","1205,471785",1,HNW,Standard,Standard Savings,"1205,47"
USER_187,"8101,323607","3140,484115","0,9471691917","0,1089185296","0,9709047114","467,8758626",11,Retail,Rational Strategist,Standard Savings,"5146,63"
USER_188,"7542,794102","1821,758918","0,5952001809","0,2754817835","0,3736056595","413,5748835",5,Retail,Standard,Standard Savings,"2067,87"
USER_189,"2768,770454","2803,499469","0,6578839353","0,6290860443","0,6814606125","194,5085121",11,Retail,Standard,Standard Savings,"2139,59"
USER_190,"977,2614047","1817,873065","0,06391132095","0,2086753007","0,06353572242","85,22053153",6,Retail,Standard,Standard Savings,"511,32"
USER_191,"22751,23225","1481,84866","0,1659944607","0,4660852301","0,3962473468","1167,198586",3,HNW,Standard,Standard Savings,"3501,6"
USER_192,"23067,74428","4503,941987","0,3009522764","0,2729415285","0,9638176612","1243,466054",8,HNW,Rational Strategist,Stock Portfolio,"9947,73"
USER_193,"10026,69919","79,30552645","0,539379318","0,3354577589","0,5389808745","502,9210703",7,Retail,Standard,Standard Savings,"3520,45"
USER_194,"4140,465098","1502,501032","0,776590896","0,1228710169","0,2878795033","237,0732755",2,Retail,Impulsive Intuitive,High-Leverage Trading / Crypto,"474,15"
USER_195,"4295,676158","5414,414403","0,3212408778","0,5607684031","0,1202709631","323,072096",12,Retail,Standard,Standard Savings,"3876,87"
